"id","svgdir_id","uuid","term_id","color","x_min","x_max","x_med","taid"
"1105","92","be75182a-7759-11e4-adb6-57ce06b062da","4259","#74CA7D","4060","4300","4180","A12.2.15.018"
"1106","94","be751ea6-7759-11e4-adb6-57ce06b062da","4268","#31278B","4075","4280","4178","A12.2.15.027"
"1107","94","be751ea6-7759-11e4-adb6-57ce06b062da","4268","#97663E","4030","4260","4145","A12.2.15.027"
"1108","96","be752446-7759-11e4-adb6-57ce06b062da","4279","#618899","4140","4660","4400","A12.2.15.038"
"1109","96","be752446-7759-11e4-adb6-57ce06b062da","4279","#217845","4060","4660","4360","A12.2.15.038"
"1110","98","be7529aa-7759-11e4-adb6-57ce06b062da","4289","#82BF8C","3830","4400","4115","A12.2.16.002"
"1111","98","be7529aa-7759-11e4-adb6-57ce06b062da","4289","#2954F1","3840","4400","4120","A12.2.16.002"
"1112","100","be752a2c-7759-11e4-adb6-57ce06b062da","4290","#466A0E","4400","4475","4438","A12.2.16.003"
"1113","101","be752dce-7759-11e4-adb6-57ce06b062da","4297","#E41375","4405","5705","5055","A12.2.16.010"
"1114","102","be74d194-7759-11e4-adb6-57ce06b062da","4163","#A12323","2910","2955","2933","A12.2.12.013"
"1115","101","be752dce-7759-11e4-adb6-57ce06b062da","4297","#79754F","4405","5705","5055","A12.2.16.010"
"1116","104","be7532f6-7759-11e4-adb6-57ce06b062da","4307","#7BE122","4430","4995","4713","A12.2.16.020"
"1117","104","be7532f6-7759-11e4-adb6-57ce06b062da","4307","#FF05BD","4430","5035","4733","A12.2.16.020"
"1118","106","be7539ea-7759-11e4-adb6-57ce06b062da","4320","#877950","5710","6305","6008","A12.2.16.033"
"1119","106","be7539ea-7759-11e4-adb6-57ce06b062da","4320","#A84D59","5710","6305","6008","A12.2.16.033"
"1120","108","be753e90-7759-11e4-adb6-57ce06b062da","4329","#B316CE","6310","6745","6528","A12.2.16.042"
"1121","108","be753e90-7759-11e4-adb6-57ce06b062da","4329","#8689FD","6310","6745","6528","A12.2.16.042"
"1122","110","be754548-7759-11e4-adb6-57ce06b062da","4342","#876D88","6310","6655","6483","A12.2.16.055"
"1123","110","be754548-7759-11e4-adb6-57ce06b062da","4342","#1185B0","6310","6660","6485","A12.2.16.055"
"1124","112","be74d2a2-7759-11e4-adb6-57ce06b062da","4165","#C153DA","2990","3015","3003","A12.2.12.015"
"1125","113","be74d32e-7759-11e4-adb6-57ce06b062da","4166","#921234","3020","3165","3093","A12.2.12.016"
"1126","114","be74d9fa-7759-11e4-adb6-57ce06b062da","4179","#965F75","2965","3015","2990","A12.2.12.029"
"1127","115","be74db08-7759-11e4-adb6-57ce06b062da","4181","#39A6B0","3020","3165","3093","A12.2.12.031"
"1128","116","be74dfcc-7759-11e4-adb6-57ce06b062da","4190","#5D230E","2975","3165","3070","A12.2.12.040"
"1129","117","be74ea26-7759-11e4-adb6-57ce06b062da","4203","#24BB3A","3015","3800","3408","A12.2.12.053"
"1130","118","be73734e-7759-11e4-adb6-57ce06b062da","3759","#A03EF5","1635","1855","1745","A12.2.04.004"
"1131","119","be742e56-7759-11e4-adb6-57ce06b062da","4005","#B30920","0825","1500","1163","A12.2.08.002"
"1132","119","be742e56-7759-11e4-adb6-57ce06b062da","4005","#9E70C0","0825","1500","1163","A12.2.08.002"
"1133","121","be743e64-7759-11e4-adb6-57ce06b062da","4022","#FF1861","0655","0710","683","A12.2.07.081"
"1134","122","be745ca0-7759-11e4-adb6-57ce06b062da","4071","#2027AB","1645","1940","1793","A12.2.09.002"
"1135","122","be745ca0-7759-11e4-adb6-57ce06b062da","4071","#A37D2F","1645","1940","1793","A12.2.09.002"
"1136","124","be746506-7759-11e4-adb6-57ce06b062da","4087","#D0FAEF","1950","2980","2465","A12.2.09.018"
"1137","124","be746506-7759-11e4-adb6-57ce06b062da","4087","#2A6F1F","1945","2980","2463","A12.2.09.018"
"1138","126","be74660a-7759-11e4-adb6-57ce06b062da","4089","#613ACD","2235","2635","2435","A12.2.09.020"
"1139","126","be74660a-7759-11e4-adb6-57ce06b062da","4089","#66D8A7","1965","2645","2305","A12.2.09.020"
